FBID,female_narrow_heritability,male_narrow_heritability
FBgn0038394,0.226,0.337
FBgn0038395,0.429,0.485
FBgn0038396,0.000,0.158
FBgn0038397,0.000,0.078
FBgn0038398,0.132,0.523
FBgn0038400,0.086,0.094
FBgn0038401,0.254,0.042
FBgn0038402,0.000,0.000
FBgn0038404,0.048,0.073
FBgn0038405,0.000,0.104
FBgn0038407,0.177,0.089
FBgn0038412,0.225,0.123
FBgn0038414,0.000,0.038
FBgn0038415,0.025,0.000
FBgn0038416,0.205,0.213
FBgn0038418,0.122,0.114
FBgn0038419,0.330,0.105
FBgn0038420,0.171,0.152
FBgn0038421,0.040,0.000
FBgn0038422,0.113,0.231
FBgn0038423,0.058,0.208
FBgn0038424,0.000,0.087
FBgn0038425,0.097,0.053
FBgn0038426,0.000,0.073
FBgn0038427,0.024,0.140
FBgn0038428,0.061,0.258
FBgn0038429,0.152,0.113
FBgn0038431,0.000,0.170
FBgn0038432,0.127,0.110
FBgn0038435,0.000,0.090
FBgn0038436,0.000,0.043
FBgn0038437,0.000,0.086
FBgn0038438,0.066,0.140
FBgn0038439,0.000,0.000
FBgn0038440,0.007,0.000
FBgn0038445,0.112,0.549
FBgn0038446,0.149,0.053
FBgn0038447,0.000,0.120
FBgn0038448,0.006,0.283
FBgn0038449,0.389,0.529
FBgn0038450,0.515,0.578
FBgn0038451,0.000,0.571
FBgn0038452,0.071,0.097
FBgn0038453,0.187,0.223
FBgn0038454,0.000,0.015
FBgn0038455,0.073,0.007
FBgn0038458,0.000,0.346
FBgn0038460,0.000,0.000
FBgn0038461,0.315,0.291
FBgn0038462,0.313,0.237
FBgn0038463,0.421,0.353
FBgn0038464,0.094,0.363
FBgn0038465,0.269,0.135
FBgn0038466,0.181,0.138
FBgn0038467,0.256,0.014
FBgn0038468,0.000,0.003
FBgn0038469,0.278,0.000
FBgn0038470,0.222,0.000
FBgn0038471,0.335,0.087
FBgn0038472,0.066,0.106
FBgn0038473,0.063,0.000
FBgn0038474,0.000,0.000
FBgn0038475,0.079,0.317
FBgn0038476,0.802,0.205
FBgn0038478,0.213,0.199
FBgn0038479,0.000,0.187
FBgn0038481,0.220,0.197
FBgn0038482,0.154,0.226
FBgn0038484,0.276,0.188
FBgn0038485,0.056,0.000
FBgn0038486,0.000,0.406
FBgn0038487,0.000,0.000
FBgn0038488,0.115,0.389
FBgn0038490,0.000,0.095
FBgn0038491,0.000,0.031
FBgn0038492,0.000,0.236
FBgn0038494,0.000,0.000
FBgn0038498,0.084,0.000
FBgn0038499,0.000,0.033
FBgn0038504,0.000,0.129
FBgn0038505,0.038,0.066
FBgn0038506,0.070,0.000
FBgn0038507,0.030,0.100
FBgn0038508,0.034,0.000
FBgn0038509,0.000,0.000
FBgn0038510,0.000,0.070
FBgn0038511,0.005,0.072
FBgn0038512,0.000,0.001
FBgn0038515,0.036,0.337
FBgn0038516,0.316,0.303
FBgn0038519,0.296,0.227
FBgn0038523,0.000,0.072
FBgn0038524,0.355,0.037
FBgn0038525,0.000,0.020
FBgn0038526,0.027,0.021
FBgn0038527,0.000,0.160
FBgn0038528,0.040,0.071
FBgn0038529,0.000,0.065
FBgn0038530,0.106,0.161
FBgn0038531,0.000,0.014
FBgn0038532,0.614,0.310
FBgn0038533,0.000,0.106
FBgn0038535,0.211,0.021
FBgn0038536,0.024,0.000
FBgn0038539,0.000,0.224
FBgn0038540,0.047,0.053
FBgn0038541,0.004,0.038
FBgn0038542,0.000,0.000
FBgn0038545,0.091,0.001
FBgn0038546,0.083,0.000
FBgn0038547,0.089,0.048
FBgn0038548,0.115,0.000
FBgn0038549,0.132,0.000
FBgn0038550,0.000,0.014
FBgn0038551,0.162,0.063
FBgn0038552,0.104,0.178
FBgn0038558,0.000,0.267
FBgn0038564,0.305,0.137
FBgn0038565,0.041,0.249
FBgn0038566,0.000,0.000
FBgn0038567,0.012,0.339
FBgn0038568,0.000,0.010
FBgn0038569,0.024,0.121
FBgn0038570,0.115,0.211
FBgn0038571,0.177,0.161
FBgn0038575,0.137,0.110
FBgn0038576,0.141,0.298
FBgn0038577,0.000,0.020
FBgn0038578,0.005,0.044
FBgn0038579,0.042,0.028
FBgn0038581,0.022,0.689
FBgn0038582,0.104,0.000
FBgn0038583,0.000,0.256
FBgn0038584,0.167,0.000
FBgn0038585,0.239,0.206
FBgn0038586,0.046,0.000
FBgn0038588,0.113,0.049
FBgn0038589,0.064,0.075
FBgn0038590,0.024,0.000
FBgn0038592,0.000,0.078
FBgn0038593,0.172,0.134
FBgn0038595,0.039,0.167
FBgn0038596,0.012,0.065
FBgn0038597,0.074,0.022
FBgn0038598,0.053,0.404
FBgn0038601,0.388,0.444
FBgn0038602,0.000,0.000
FBgn0038603,0.144,0.245
FBgn0038606,0.047,0.098
FBgn0038607,0.000,0.610
FBgn0038608,0.230,0.018
FBgn0038609,0.160,0.092
FBgn0038610,0.235,0.556
FBgn0038611,0.334,0.000
FBgn0038612,0.081,0.313
FBgn0038613,0.156,0.150
FBgn0038617,0.339,0.503
FBgn0038619,0.000,0.061
FBgn0038621,0.105,0.086
FBgn0038626,0.067,0.287
FBgn0038627,0.000,0.626
FBgn0038629,0.381,0.130
FBgn0038630,0.144,0.217
FBgn0038631,0.530,0.619
FBgn0038632,0.000,0.014
FBgn0038638,0.202,0.100
FBgn0038639,0.032,0.092
FBgn0038640,0.069,0.104
FBgn0038641,0.254,0.204
FBgn0038642,0.000,0.000
FBgn0038643,0.034,0.000
FBgn0038645,0.000,0.000
FBgn0038646,0.002,0.000
FBgn0038647,0.086,0.039
FBgn0038649,0.108,0.075
FBgn0038651,0.252,0.416
FBgn0038652,0.369,0.528
FBgn0038653,0.217,0.006
FBgn0038654,0.000,0.068
FBgn0038655,0.052,0.340
FBgn0038656,0.103,0.049
FBgn0038658,0.264,0.267
FBgn0038659,0.161,0.063
FBgn0038660,0.094,0.085
FBgn0038662,0.332,0.279
FBgn0038665,0.318,0.248
FBgn0038666,0.226,0.000
FBgn0038672,0.010,0.339
FBgn0038673,0.088,0.142
FBgn0038674,0.034,0.152
FBgn0038675,0.203,0.118
FBgn0038676,0.000,0.126
FBgn0038678,0.029,0.130
FBgn0038679,0.231,0.343
FBgn0038680,0.438,0.430
FBgn0038681,0.657,0.608
FBgn0038682,0.149,0.091
FBgn0038683,0.169,0.341
FBgn0038685,0.080,0.313
FBgn0038686,0.058,0.114
FBgn0038690,0.000,0.433
FBgn0038691,0.000,0.134
FBgn0038692,0.299,0.016
FBgn0038693,0.156,0.000
FBgn0038694,0.000,0.292
FBgn0038695,0.000,0.000
FBgn0038697,0.008,0.384
FBgn0038700,0.264,0.238
FBgn0038701,0.383,0.399
FBgn0038702,0.496,0.502
FBgn0038704,0.608,0.483
FBgn0038705,0.076,0.045
FBgn0038706,0.047,0.295
FBgn0038708,0.168,0.076
FBgn0038709,0.000,0.049
FBgn0038714,0.060,0.000
FBgn0038715,0.000,0.047
FBgn0038716,0.005,0.500
FBgn0038717,0.592,0.599
FBgn0038718,0.604,0.707
FBgn0038719,0.764,0.780
FBgn0038720,0.224,0.164
FBgn0038721,0.305,0.509
FBgn0038722,0.187,0.188
FBgn0038723,0.000,0.106
FBgn0038725,0.000,0.196
FBgn0038727,0.000,0.075
FBgn0038730,0.183,0.018
FBgn0038731,0.127,0.159
FBgn0038732,0.010,0.093
FBgn0038733,0.396,0.516
FBgn0038734,0.000,0.159
FBgn0038735,0.273,0.271
FBgn0038737,0.000,0.000
FBgn0038738,0.179,0.109
FBgn0038739,0.150,0.239
FBgn0038740,0.137,0.156
FBgn0038741,0.107,0.000
FBgn0038742,0.127,0.104
FBgn0038744,0.403,0.257
FBgn0038745,0.105,0.214
FBgn0038746,0.318,0.130
FBgn0038747,0.167,0.174
FBgn0038750,0.000,0.016
FBgn0038751,0.008,0.000
FBgn0038752,0.152,0.111
FBgn0038753,0.013,0.060
FBgn0038755,0.014,0.196
FBgn0038756,0.370,0.595
FBgn0038760,0.006,0.054
FBgn0038761,0.027,0.026
FBgn0038762,0.000,0.261
FBgn0038763,0.143,0.144
FBgn0038765,0.164,0.107
FBgn0038766,0.202,0.046
FBgn0038767,0.147,0.171
FBgn0038768,0.011,0.000
FBgn0038769,0.028,0.062
FBgn0038771,0.093,0.128
FBgn0038772,0.301,0.103
FBgn0038773,0.056,0.427
FBgn0038774,0.491,0.526
FBgn0038775,0.037,0.153
FBgn0038783,0.123,0.161
FBgn0038784,0.000,0.000
FBgn0038787,0.124,0.170
FBgn0038788,0.278,0.467
FBgn0038789,0.000,0.180
FBgn0038790,0.258,0.312
FBgn0038795,0.470,0.535
FBgn0038796,0.017,0.505
FBgn0038797,0.004,0.078
FBgn0038798,0.000,0.000
FBgn0038799,0.056,0.268
FBgn0038803,0.359,0.193
FBgn0038804,0.046,0.046
FBgn0038805,0.000,0.028
FBgn0038806,0.031,0.031
FBgn0038808,0.079,0.130
FBgn0038809,0.092,0.206
FBgn0038810,0.130,0.194
FBgn0038811,0.000,0.039
FBgn0038814,0.074,0.111
FBgn0038815,0.288,0.242
FBgn0038816,0.262,0.121
FBgn0038818,0.157,0.093
FBgn0038819,0.339,0.278
FBgn0038820,0.281,0.280
FBgn0038821,0.000,0.016
FBgn0038826,0.425,0.289
FBgn0038827,0.187,0.119
FBgn0038828,0.277,0.008
FBgn0038829,0.155,0.271
FBgn0038830,0.077,0.211
FBgn0038832,0.185,0.429
FBgn0038833,0.000,0.075
FBgn0038834,0.004,0.124
FBgn0038837,0.000,0.051
FBgn0038838,0.061,0.000
FBgn0038839,0.094,0.000
FBgn0038840,0.180,0.443
FBgn0038842,0.215,0.200
FBgn0038845,0.150,0.252
FBgn0038846,0.228,0.231
FBgn0038847,0.000,0.047
FBgn0038849,0.000,0.020
FBgn0038850,0.004,0.110
FBgn0038851,0.000,0.168
FBgn0038852,0.043,0.001
FBgn0038853,0.078,0.000
FBgn0038854,0.088,0.065
FBgn0038855,0.084,0.041
FBgn0038856,0.148,0.121
FBgn0038857,0.228,0.000
FBgn0038858,0.260,0.337
FBgn0038859,0.011,0.178
FBgn0038860,0.210,0.144
FBgn0038861,0.124,0.000
FBgn0038862,0.001,0.139
FBgn0038865,0.206,0.346
FBgn0038866,0.010,0.042
FBgn0038868,0.066,0.088
FBgn0038869,0.176,0.213
FBgn0038870,0.043,0.064
FBgn0038871,0.074,0.000
FBgn0038872,0.100,0.013
FBgn0038873,0.138,0.219
FBgn0038874,0.006,0.091
FBgn0038876,0.116,0.428
FBgn0038877,0.346,0.270
FBgn0038878,0.229,0.543
FBgn0038879,0.041,0.000
FBgn0038881,0.200,0.000
FBgn0038886,0.020,0.044
FBgn0038887,0.000,0.331
FBgn0038888,0.000,0.130
FBgn0038889,0.263,0.381
FBgn0038890,0.413,0.257
FBgn0038892,0.000,0.105
FBgn0038893,0.409,0.035
FBgn0038894,0.000,0.097
FBgn0038897,0.113,0.054
FBgn0038901,0.074,0.046
FBgn0038902,0.112,0.053
FBgn0038903,0.000,0.073
FBgn0038909,0.117,0.189
FBgn0038912,0.301,0.294
FBgn0038914,0.512,0.207
FBgn0038915,0.018,0.000
FBgn0038916,0.000,0.032
FBgn0038917,0.155,0.123
FBgn0038918,0.029,0.567
FBgn0038919,0.076,0.566
FBgn0038921,0.034,0.000
FBgn0038922,0.327,0.222
FBgn0038923,0.024,0.081
FBgn0038924,0.052,0.139
FBgn0038925,0.000,0.047
FBgn0038926,0.083,0.071
FBgn0038927,0.243,0.123
FBgn0038928,0.174,0.003
FBgn0038929,0.000,0.208
FBgn0038930,0.134,0.233
FBgn0038931,0.098,0.027
FBgn0038934,0.000,0.495
FBgn0038938,0.470,0.347
FBgn0038941,0.000,0.075
FBgn0038942,0.039,0.051
FBgn0038943,0.000,0.000
FBgn0038944,0.054,0.113
FBgn0038945,0.000,0.074
FBgn0038947,0.114,0.198
FBgn0038948,0.039,0.096
FBgn0038950,0.030,0.139
FBgn0038951,0.007,0.000
FBgn0038952,0.004,0.484
FBgn0038953,0.541,0.491
FBgn0038956,0.036,0.037
FBgn0038957,0.001,0.265
FBgn0038958,0.001,0.000
FBgn0038959,0.000,0.000
FBgn0038960,0.000,0.395
FBgn0038961,0.154,0.074
FBgn0038964,0.175,0.000
FBgn0038965,0.071,0.050
FBgn0038966,0.292,0.077
FBgn0038967,0.015,0.000
FBgn0038968,0.198,0.000
FBgn0038972,0.550,0.572
FBgn0038973,0.292,0.477
FBgn0038974,0.085,0.078
FBgn0038975,0.158,0.000
FBgn0038976,0.153,0.000
FBgn0038977,0.026,0.000
FBgn0038978,0.011,0.772
FBgn0038979,0.000,0.353
FBgn0038980,0.032,0.000
FBgn0038981,0.136,0.115
FBgn0038983,0.330,0.436
FBgn0038984,0.185,0.157
FBgn0038986,0.000,0.299
FBgn0038989,0.139,0.113
FBgn0038993,0.036,0.397
FBgn0039000,0.780,0.375
FBgn0039002,0.000,0.160
FBgn0039003,0.022,0.164
FBgn0039004,0.215,0.152
FBgn0039006,0.269,0.206
FBgn0039007,0.005,0.235
FBgn0039008,0.141,0.377
FBgn0039009,0.029,0.008
FBgn0039010,0.010,0.189
FBgn0039013,0.162,0.000
FBgn0039015,0.000,0.000
FBgn0039016,0.106,0.184
FBgn0039017,0.324,0.211
FBgn0039019,0.150,0.045
FBgn0039020,0.000,0.128
FBgn0039022,0.139,0.014
FBgn0039023,0.128,0.182
FBgn0039024,0.199,0.494
FBgn0039025,0.030,0.205
FBgn0039026,0.144,0.320
FBgn0039027,0.000,0.144
FBgn0039028,0.000,0.065
FBgn0039029,0.084,0.138
FBgn0039030,0.264,0.462
FBgn0039031,0.264,0.206
FBgn0039033,0.008,0.045
FBgn0039034,0.069,0.000
FBgn0039038,0.017,0.079
FBgn0039039,0.038,0.173
FBgn0039040,0.075,0.161
FBgn0039041,0.000,0.153
FBgn0039042,0.068,0.014
FBgn0039043,0.000,0.179
FBgn0039044,0.093,0.035
FBgn0039045,0.126,0.082
FBgn0039048,0.168,0.339
FBgn0039049,0.523,0.511
FBgn0039050,0.027,0.331
FBgn0039051,0.116,0.086
FBgn0039052,0.377,0.491
FBgn0039053,0.000,0.072
FBgn0039054,0.364,0.000
FBgn0039055,0.133,0.000
FBgn0039056,0.091,0.096
FBgn0039058,0.000,0.000
FBgn0039059,0.000,0.031
FBgn0039064,0.232,0.044
FBgn0039065,0.380,0.277
FBgn0039066,0.250,0.188
FBgn0039067,0.000,0.000
FBgn0039068,0.047,0.076
FBgn0039069,0.007,0.050
FBgn0039070,0.065,0.143
FBgn0039071,0.000,0.253
FBgn0039073,0.346,0.182
FBgn0039075,0.291,0.283
FBgn0039077,0.050,0.380
FBgn0039078,0.006,0.108
FBgn0039079,0.066,0.002
FBgn0039080,0.000,0.000
FBgn0039081,0.231,0.104
FBgn0039083,0.000,0.163
FBgn0039084,0.368,0.368
FBgn0039085,0.228,0.214
FBgn0039086,0.000,0.193
FBgn0039087,0.000,0.060
FBgn0039088,0.000,0.234
FBgn0039089,0.000,0.098
FBgn0039091,0.227,0.244
FBgn0039092,0.000,0.251
FBgn0039093,0.000,0.007
FBgn0039094,0.221,0.322
FBgn0039098,0.530,0.159
FBgn0039099,0.671,0.582
FBgn0039101,0.048,0.155
FBgn0039102,0.461,0.411
FBgn0039104,0.000,0.000
FBgn0039106,0.000,0.134
FBgn0039107,0.057,0.084
FBgn0039108,0.117,0.000
FBgn0039109,0.280,0.287
FBgn0039110,0.000,0.098
FBgn0039111,0.043,0.038
FBgn0039112,0.092,0.146
FBgn0039113,0.034,0.031
FBgn0039114,0.394,0.532
FBgn0039115,0.022,0.000
FBgn0039116,0.140,0.000
FBgn0039117,0.107,0.019
FBgn0039118,0.217,0.131
FBgn0039120,0.107,0.099
FBgn0039124,0.000,0.269
FBgn0039125,0.125,0.037
FBgn0039126,0.088,0.034
FBgn0039128,0.128,0.084
FBgn0039129,0.000,0.055
FBgn0039130,0.104,0.132
FBgn0039131,0.183,0.393
FBgn0039132,0.096,0.191
FBgn0039135,0.204,0.080
FBgn0039136,0.085,0.127
FBgn0039137,0.132,0.151
FBgn0039139,0.120,0.263
FBgn0039140,0.069,0.255
FBgn0039141,0.148,0.143
FBgn0039145,0.032,0.066
FBgn0039147,0.000,0.058
FBgn0039149,0.108,0.000
FBgn0039150,0.209,0.240
FBgn0039151,0.377,0.398
FBgn0039152,0.306,0.440
FBgn0039153,0.051,0.049
FBgn0039154,0.189,0.258
FBgn0039155,0.196,0.042
FBgn0039156,0.404,0.248
FBgn0039157,0.030,0.020
FBgn0039158,0.000,0.000
FBgn0039159,0.065,0.144
FBgn0039160,0.089,0.089
FBgn0039161,0.058,0.098
FBgn0039163,0.007,0.000
FBgn0039164,0.185,0.448
FBgn0039165,0.044,0.055
FBgn0039167,0.014,0.000
FBgn0039169,0.053,0.000
FBgn0039170,0.239,0.093
FBgn0039172,0.109,0.307
FBgn0039175,0.099,0.000
FBgn0039177,0.000,0.436
FBgn0039178,0.227,0.443
FBgn0039180,0.000,0.051
FBgn0039182,0.241,0.000
FBgn0039183,0.247,0.000
FBgn0039184,0.290,0.420
FBgn0039186,0.085,0.108
FBgn0039187,0.185,0.232
FBgn0039188,0.171,0.102
FBgn0039189,0.169,0.000
FBgn0039190,0.000,0.236
FBgn0039192,0.000,0.000
FBgn0039193,0.069,0.095
FBgn0039194,0.000,0.050
FBgn0039195,0.000,0.000
FBgn0039196,0.000,0.000
FBgn0039197,0.053,0.000
FBgn0039198,0.000,0.007
FBgn0039199,0.027,0.028
FBgn0039200,0.042,0.114
FBgn0039201,0.010,0.203
FBgn0039202,0.000,0.001
FBgn0039203,0.122,0.539
FBgn0039204,0.133,0.026
FBgn0039205,0.056,0.105
FBgn0039207,0.522,0.179
FBgn0039208,0.322,0.263
FBgn0039209,0.223,0.283
FBgn0039210,0.080,0.000
FBgn0039212,0.112,0.000
FBgn0039213,0.197,0.239
FBgn0039214,0.098,0.291
FBgn0039215,0.295,0.025
FBgn0039217,0.026,0.127
FBgn0039218,0.085,0.000
FBgn0039219,0.000,0.000
FBgn0039223,0.344,0.221
FBgn0039224,0.068,0.000
FBgn0039225,0.000,0.185
FBgn0039226,0.096,0.265
FBgn0039227,0.000,0.071
FBgn0039228,0.070,0.206
FBgn0039229,0.096,0.074
FBgn0039232,0.798,0.073
FBgn0039233,0.020,0.061
FBgn0039234,0.210,0.127
FBgn0039235,0.067,0.149
FBgn0039237,0.100,0.173
FBgn0039238,0.115,0.123
FBgn0039239,0.000,0.012
FBgn0039240,0.116,0.029
FBgn0039241,0.266,0.323
FBgn0039244,0.000,0.066
FBgn0039246,0.019,0.425
FBgn0039249,0.074,0.059
FBgn0039250,0.330,0.284
FBgn0039251,0.350,0.402
FBgn0039252,0.032,0.218
FBgn0039254,0.086,0.138
FBgn0039255,0.028,0.155
FBgn0039257,0.089,0.409
FBgn0039258,0.124,0.000
FBgn0039259,0.033,0.000
FBgn0039260,0.223,0.046
FBgn0039261,0.128,0.004
FBgn0039264,0.057,0.000
FBgn0039265,0.270,0.209
FBgn0039266,0.322,0.238
FBgn0039269,0.042,0.000
FBgn0039270,0.123,0.020
FBgn0039271,0.109,0.082
FBgn0039272,0.298,0.265
FBgn0039273,0.028,0.000
FBgn0039274,0.227,0.000
FBgn0039277,0.247,0.110
FBgn0039280,0.103,0.000
FBgn0039282,0.040,0.000
FBgn0039283,0.138,0.027
FBgn0039286,0.017,0.098
FBgn0039288,0.000,0.000
FBgn0039290,0.036,0.000
FBgn0039291,0.047,0.040
FBgn0039293,0.204,0.000
FBgn0039294,0.000,0.019
FBgn0039296,0.039,0.090
FBgn0039297,0.019,0.129
FBgn0039298,0.378,0.613
FBgn0039299,0.000,0.346
FBgn0039300,0.009,0.100
FBgn0039301,0.070,0.128
FBgn0039302,0.060,0.030
FBgn0039303,0.178,0.000
FBgn0039304,0.000,0.059
FBgn0039305,0.000,0.111
FBgn0039306,0.154,0.124
FBgn0039307,0.637,0.709
FBgn0039308,0.694,0.761
FBgn0039310,0.502,0.474
FBgn0039311,0.445,0.383
FBgn0039312,0.502,0.377
FBgn0039313,0.526,0.459
FBgn0039315,0.338,0.487
FBgn0039316,0.493,0.619
FBgn0039319,0.315,0.309
FBgn0039321,0.278,0.516
FBgn0039323,0.147,0.191
FBgn0039324,0.357,0.458
FBgn0039325,0.625,0.657
FBgn0039326,0.201,0.281
FBgn0039328,0.156,0.224
FBgn0039329,0.000,0.000
FBgn0039331,0.000,0.548
FBgn0039332,0.055,0.398
FBgn0039335,0.027,0.000
FBgn0039336,0.005,0.074
FBgn0039337,0.120,0.020
FBgn0039338,0.163,0.107
FBgn0039339,0.251,0.134
FBgn0039342,0.431,0.432
FBgn0039343,0.138,0.332
FBgn0039344,0.000,0.000
FBgn0039346,0.000,0.149
FBgn0039347,0.000,0.354
FBgn0039348,0.339,0.473
FBgn0039349,0.106,0.165
FBgn0039350,0.257,0.090
FBgn0039354,0.001,0.000
FBgn0039355,0.339,0.044
FBgn0039356,0.120,0.067
FBgn0039357,0.000,0.000
FBgn0039358,0.329,0.395
FBgn0039359,0.000,0.045
FBgn0039360,0.106,0.126
FBgn0039366,0.068,0.149
FBgn0039367,0.036,0.289
FBgn0039368,0.037,0.160
FBgn0039369,0.000,0.068
FBgn0039370,0.072,0.036
FBgn0039371,0.000,0.038
FBgn0039373,0.126,0.712
FBgn0039374,0.000,0.127
FBgn0039376,0.000,0.110
FBgn0039378,0.053,0.291
FBgn0039379,0.201,0.235
FBgn0039380,0.143,0.000
FBgn0039381,0.218,0.077
FBgn0039385,0.089,0.000
FBgn0039386,0.036,0.116
FBgn0039387,0.033,0.000
FBgn0039395,0.082,0.343
FBgn0039396,0.030,0.000
FBgn0039398,0.322,0.429
FBgn0039402,0.050,0.131
FBgn0039403,0.000,0.001
FBgn0039404,0.004,0.000
FBgn0039406,0.000,0.045
FBgn0039407,0.200,0.034
FBgn0039408,0.000,0.010
FBgn0039411,0.000,0.067
FBgn0039413,0.014,0.549
FBgn0039415,0.000,0.009
FBgn0039417,0.198,0.113
FBgn0039419,0.272,0.485
FBgn0039420,0.057,0.018
FBgn0039421,0.041,0.254
FBgn0039424,0.127,0.000
FBgn0039425,0.000,0.389
FBgn0039427,0.067,0.008
FBgn0039428,0.061,0.000
FBgn0039429,0.000,0.021
FBgn0039430,0.471,0.543
FBgn0039431,0.228,0.000
FBgn0039434,0.075,0.192
FBgn0039435,0.033,0.055
FBgn0039436,0.023,0.107
FBgn0039437,0.096,0.109
FBgn0039438,0.006,0.000
FBgn0039439,0.000,0.000
FBgn0039440,0.028,0.216
FBgn0039441,0.076,0.035
FBgn0039443,0.033,0.091
FBgn0039444,0.000,0.313
FBgn0039448,0.000,0.000
FBgn0039449,0.142,0.150
FBgn0039450,0.157,0.233
FBgn0039451,0.012,0.147
FBgn0039452,0.140,0.303
FBgn0039453,0.041,0.104
FBgn0039454,0.066,0.000
FBgn0039459,0.000,0.083
FBgn0039461,0.000,0.131
FBgn0039462,0.069,0.110
FBgn0039463,0.000,0.274
FBgn0039464,0.406,0.263
FBgn0039465,0.080,0.102
FBgn0039466,0.070,0.226
FBgn0039467,0.079,0.035
FBgn0039469,0.000,0.018
FBgn0039470,0.187,0.353
FBgn0039471,0.504,0.574
FBgn0039472,0.361,0.410
FBgn0039473,0.140,0.000
FBgn0039474,0.490,0.632
FBgn0039475,0.430,0.394
FBgn0039476,0.048,0.192
FBgn0039478,0.000,0.318
FBgn0039479,0.355,0.067
FBgn0039480,0.021,0.000
FBgn0039481,0.022,0.061
FBgn0039482,0.000,0.047
FBgn0039483,0.297,0.350
FBgn0039485,0.287,0.344
FBgn0039486,0.257,0.032
FBgn0039487,0.437,0.194
FBgn0039488,0.124,0.032
FBgn0039489,0.104,0.013
FBgn0039490,0.000,0.076
FBgn0039491,0.054,0.218
FBgn0039492,0.041,0.084
FBgn0039494,0.041,0.192
FBgn0039495,0.113,0.239
FBgn0039498,0.070,0.229
FBgn0039500,0.033,0.023
FBgn0039501,0.000,0.370
FBgn0039503,0.021,0.244
FBgn0039504,0.145,0.253
FBgn0039505,0.045,0.087
FBgn0039507,0.223,0.291
FBgn0039508,0.109,0.049
FBgn0039509,0.000,0.004
FBgn0039510,0.000,0.000
FBgn0039511,0.052,0.296
FBgn0039518,0.069,0.373
FBgn0039519,0.415,0.556
FBgn0039520,0.000,0.262
FBgn0039521,0.012,0.619
FBgn0039522,0.000,0.029
FBgn0039523,0.071,0.084
FBgn0039525,0.157,0.181
FBgn0039527,0.020,0.279
FBgn0039528,0.120,0.130
FBgn0039529,0.194,0.313
FBgn0039530,0.048,0.000
FBgn0039531,0.073,0.037
FBgn0039532,0.188,0.201
FBgn0039536,0.170,0.005
FBgn0039537,0.301,0.325
FBgn0039538,0.030,0.077
FBgn0039543,0.085,0.197
FBgn0039544,0.131,0.089
FBgn0039551,0.000,0.000
FBgn0039552,0.075,0.020
FBgn0039553,0.035,0.443
FBgn0039554,0.029,0.037
FBgn0039555,0.107,0.121
FBgn0039557,0.000,0.040
FBgn0039558,0.000,0.091
FBgn0039559,0.159,0.000
FBgn0039560,0.204,0.210
FBgn0039561,0.278,0.248
FBgn0039562,0.215,0.335
FBgn0039563,0.000,0.000
FBgn0039564,0.160,0.163
FBgn0039565,0.103,0.000
FBgn0039566,0.059,0.066
FBgn0039568,0.000,0.218
FBgn0039576,0.000,0.282
FBgn0039577,0.074,0.000
FBgn0039580,0.131,0.149
FBgn0039581,0.123,0.000
FBgn0039582,0.109,0.000
FBgn0039584,0.006,0.083
FBgn0039585,0.420,0.625
FBgn0039588,0.007,0.056
FBgn0039589,0.147,0.050
FBgn0039590,0.351,0.093
FBgn0039591,0.419,0.187
FBgn0039592,0.146,0.082
FBgn0039593,0.380,0.215
FBgn0039594,0.342,0.238
FBgn0039595,0.082,0.008
FBgn0039596,0.067,0.038
FBgn0039597,0.022,0.329
FBgn0039598,0.088,0.273
FBgn0039599,0.030,0.295
FBgn0039600,0.228,0.175
FBgn0039601,0.099,0.000
FBgn0039602,0.123,0.072
FBgn0039609,0.256,0.021
FBgn0039611,0.432,0.463
FBgn0039612,0.107,0.167
FBgn0039613,0.108,0.105
FBgn0039616,0.000,0.283
FBgn0039617,0.008,0.000
FBgn0039620,0.333,0.418
FBgn0039621,0.000,0.000
FBgn0039622,0.000,0.000
FBgn0039623,0.127,0.000
FBgn0039625,0.037,0.199
FBgn0039626,0.043,0.051
FBgn0039627,0.188,0.146
FBgn0039628,0.273,0.481
FBgn0039629,0.357,0.366
FBgn0039630,0.116,0.022
FBgn0039631,0.090,0.042
FBgn0039632,0.117,0.192
FBgn0039633,0.025,0.000
FBgn0039634,0.227,0.039
FBgn0039635,0.158,0.286
FBgn0039636,0.029,0.149
FBgn0039637,0.348,0.275
FBgn0039638,0.041,0.000
FBgn0039639,0.004,0.000
FBgn0039640,0.434,0.000
FBgn0039641,0.000,0.059
FBgn0039642,0.079,0.052
FBgn0039644,0.201,0.190
FBgn0039645,0.000,0.307
FBgn0039647,0.098,0.000
FBgn0039648,0.036,0.062
FBgn0039650,0.000,0.000
FBgn0039651,0.000,0.001
FBgn0039654,0.101,0.121
FBgn0039655,0.000,0.077
FBgn0039656,0.077,0.320
FBgn0039659,0.139,0.252
FBgn0039663,0.224,0.000
FBgn0039664,0.006,0.000
FBgn0039665,0.092,0.142
FBgn0039666,0.000,0.059
FBgn0039667,0.279,0.434
FBgn0039668,0.021,0.229
FBgn0039669,0.143,0.091
FBgn0039670,0.420,0.578
FBgn0039671,0.000,0.004
FBgn0039673,0.000,0.000
FBgn0039674,0.076,0.098
FBgn0039675,0.000,0.065
FBgn0039676,0.000,0.131
FBgn0039677,0.068,0.041
FBgn0039678,0.564,0.364
FBgn0039679,0.000,0.082
