FBID,gene_name,gene_type,position,sex_fixed_effect_pvalue,sex_fdr,sex_by_line_pvalue,sex_by_line_fdr,sex_by_line_variance_component,between_line_variance_component,between_line_pvalue,between_line_fdr,within_line_variance_component
FBgn0000047,Act88F,protein_coding,3R:11265691..11267899,5.01E-33,8.66E-33,8.77E-01,9.43E-01,0.0000,0.4192,2.99E-44,2.30E-42,0.4600
FBgn0000052,ade2,protein_coding,2L:6041178..6045970,4.68E-201,2.56E-200,6.34E-02,2.36E-01,0.0110,0.0217,3.91E-09,3.37E-08,0.1006
FBgn0000053,ade3,protein_coding,2L:7014623..7023940,2.63E-146,9.42E-146,2.52E-01,5.24E-01,0.0087,0.0624,1.42E-14,2.03E-13,0.1851
FBgn0000054,Adf1,protein_coding,2R:2549770..2555590,3.15E-195,1.62E-194,3.13E-02,1.51E-01,0.0154,0.0000,2.33E-01,3.18E-01,0.1376
FBgn0000056,Adhr,protein_coding,2L:14615555..14618902,8.92E-30,1.50E-29,5.01E-01,7.29E-01,0.0000,0.1200,3.79E-06,2.21E-05,0.7085
FBgn0000057,adp,protein_coding,2R:14039209..14041565,4.49E-97,1.17E-96,5.97E-02,2.27E-01,0.0343,0.0701,4.07E-09,3.49E-08,0.3251
FBgn0000061,al,protein_coding,2L:378112..387439,6.46E-50,1.26E-49,4.05E-01,6.58E-01,0.0104,0.0676,6.30E-04,2.35E-03,0.6179
FBgn0000063,ald,protein_coding,3R:13496993..13499550,7.26E-216,4.51E-215,8.54E-14,9.63E-12,0.0333,0.0148,5.35E-17,9.11E-16,0.0446
FBgn0000064,Ald,protein_coding,3R:22079791..22087313,3.62E-86,8.89E-86,1.31E-01,3.62E-01,0.0291,0.0747,5.93E-08,4.42E-07,0.3815
FBgn0000071,Ama,protein_coding,3R:2588315..2590983,3.77E-37,6.73E-37,6.46E-01,8.20E-01,0.0000,0.0377,5.91E-02,1.10E-01,0.7450
FBgn0000075,amd,protein_coding,2L:19110159..19114110,4.56E-10,6.14E-10,6.41E-01,8.16E-01,0.0000,0.0051,4.16E-01,4.95E-01,0.9442
FBgn0000077,amx,protein_coding,X:9139948..9141369,5.65E-165,2.31E-164,9.52E-01,9.78E-01,0.0000,0.0114,5.10E-02,9.78E-02,0.2259
FBgn0000078,Amy-d,protein_coding,2R:13012267..13013887,1.52E-62,3.24E-62,7.99E-01,9.03E-01,0.0000,0.4183,9.90E-63,1.47E-60,0.3202
FBgn0000079,Amy-p,protein_coding,2R:13006211..13007808,6.97E-49,1.35E-48,9.23E-01,9.64E-01,0.0000,0.5331,5.67E-79,1.47E-76,0.3135
FBgn0000083,AnnIX,protein_coding,3R:16890932..16896639,1.46E-05,1.80E-05,1.30E-01,3.62E-01,0.0548,0.1951,2.80E-11,3.02E-10,0.7297
FBgn0000084,AnnX,protein_coding,X:20065478..20067552,4.33E-24,6.91E-24,5.84E-01,7.83E-01,0.0000,0.1066,6.66E-05,3.08E-04,0.7573
FBgn0000092,CG2650,protein_coding,X:2586765..2587919,3.58E-02,3.96E-02,1.63E-01,4.12E-01,0.0000,0.0000,9.39E-01,9.46E-01,0.9954
FBgn0000094,Anp,protein_coding,3R:26035670..26036003,4.41E-249,3.77E-248,2.88E-15,3.84E-13,0.0273,0.0017,5.95E-08,4.44E-07,0.0335
FBgn0000097,aop,protein_coding,2L:2156484..2178754,7.49E-145,2.65E-144,1.61E-02,9.64E-02,0.0406,0.0000,1.51E-02,3.64E-02,0.2205
FBgn0000099,ap,protein_coding,2R:1593707..1615030,7.05E-105,1.93E-104,2.75E-01,5.47E-01,0.0127,0.0508,1.03E-05,5.60E-05,0.3447
FBgn0000100,RpLP0,protein_coding,3L:22068967..22070587,6.52E-193,3.30E-192,1.71E-01,4.24E-01,0.0086,0.0075,1.66E-02,3.94E-02,0.1410
FBgn0000108,Appl,protein_coding,X:424503..473077,1.46E-205,8.25E-205,6.10E-01,7.98E-01,0.0000,0.0083,3.14E-02,6.63E-02,0.1345
FBgn0000109,Aprt,protein_coding,3L:1883892..1884885,9.77E-01,9.80E-01,6.23E-02,2.33E-01,0.0944,0.0216,4.59E-02,9.01E-02,0.8857
FBgn0000114,aret,protein_coding,2L:12175004..12313438,4.01E-140,1.37E-139,1.50E-02,9.16E-02,0.0333,0.0210,1.02E-04,4.55E-04,0.2143
FBgn0000115,Arf72A,protein_coding,3L:15976235..15977462,9.48E-94,2.43E-93,1.71E-01,4.24E-01,0.0221,0.0298,4.68E-03,1.35E-02,0.4066
FBgn0000116,Argk,protein_coding,3L:9041980..9059127,4.23E-121,1.28E-120,5.05E-04,6.74E-03,0.0485,0.0726,3.69E-17,6.37E-16,0.1945
FBgn0000117,arm,protein_coding,X:1785434..1794679,6.06E-169,2.55E-168,5.73E-01,7.76E-01,0.0000,0.0179,3.76E-03,1.12E-02,0.1948
FBgn0000119,arr,protein_coding,2R:9341145..9370734,3.46E-84,8.41E-84,3.29E-02,1.56E-01,0.0525,0.0336,4.62E-04,1.77E-03,0.4054
FBgn0000120,Arr1,protein_coding,2L:18078269..18081187,4.40E-87,1.09E-86,3.89E-01,6.45E-01,0.0075,0.0547,1.64E-04,7.02E-04,0.4323
FBgn0000121,Arr2,protein_coding,3L:8640361..8642036,1.40E-96,3.66E-96,9.45E-02,3.02E-01,0.0334,0.0421,7.78E-05,3.55E-04,0.3624
FBgn0000137,ase,protein_coding,X:354533..357209,2.72E-14,3.89E-14,5.70E-01,7.74E-01,0.0000,0.0526,3.53E-02,7.30E-02,0.8705
FBgn0000139,ash2,protein_coding,3R:20475847..20479098,2.95E-81,7.05E-81,2.21E-01,4.89E-01,0.0253,0.0185,5.06E-02,9.74E-02,0.4807
FBgn0000140,asp,protein_coding,3R:20579571..20586235,2.24E-292,3.21E-291,2.24E-02,1.20E-01,0.0055,0.0023,2.34E-03,7.43E-03,0.0378
FBgn0000146,aub,protein_coding,2L:10997819..11001489,0.00E+00,0.00E+00,4.89E-06,1.32E-04,0.0066,0.0016,4.90E-06,2.80E-05,0.0181
FBgn0000147,aur,protein_coding,3R:7788846..7790548,3.19E-155,1.21E-154,1.46E-03,1.60E-02,0.0362,0.0000,1.69E-01,2.49E-01,0.1966
FBgn0000150,awd,protein_coding,3R:27570894..27571706,5.65E-151,2.09E-150,7.55E-01,8.80E-01,0.0000,0.0240,2.10E-03,6.76E-03,0.2393
FBgn0000152,Axs,protein_coding,X:16574122..16577928,3.86E-13,5.44E-13,7.67E-01,8.85E-01,0.0000,0.0778,4.24E-03,1.24E-02,0.8565
FBgn0000153,b,protein_coding,2L:13821248..13823979,8.49E-149,3.09E-148,2.68E-01,5.39E-01,0.0080,0.0584,1.45E-13,1.92E-12,0.1835
FBgn0000157,Dll,protein_coding,2R:20696753..20723148,2.32E-33,4.01E-33,6.12E-01,8.00E-01,0.0000,0.0459,3.27E-02,6.86E-02,0.7580
FBgn0000158,bam,protein_coding,3R:21068761..21070779,7.31E-150,2.68E-149,3.48E-11,2.70E-09,0.0840,0.0000,5.07E-06,2.88E-05,0.1293
FBgn0000163,baz,protein_coding,X:17054039..17089350,6.43E-143,2.25E-142,4.77E-02,1.97E-01,0.0249,0.0252,4.15E-05,2.01E-04,0.2135
FBgn0000166,bcd,protein_coding,3R:2581564..2585188,2.82E-259,2.72E-258,6.70E-02,2.45E-01,0.0063,0.0000,2.28E-01,3.12E-01,0.0664
FBgn0000173,ben,protein_coding,X:13890387..13893841,2.15E-128,6.81E-128,6.19E-01,8.04E-01,0.0000,0.0170,5.45E-02,1.03E-01,0.3201
FBgn0000179,bi,protein_coding,X:4306889..4379680,4.86E-148,1.76E-147,6.33E-01,8.12E-01,0.0000,0.0000,8.92E-01,9.04E-01,0.2899
FBgn0000180,bib,protein_coding,2L:9984634..9995538,5.79E-01,5.95E-01,5.94E-01,7.89E-01,0.0000,0.0929,1.76E-03,5.78E-03,0.9083
FBgn0000181,bic,protein_coding,2R:8757754..8759299,1.01E-206,5.77E-206,2.02E-03,2.05E-02,0.0198,0.0094,2.41E-05,1.23E-04,0.0923
FBgn0000182,BicC,protein_coding,2L:16042032..16048626,3.47E-294,5.06E-293,1.09E-01,3.26E-01,0.0037,0.0005,1.24E-01,1.96E-01,0.0434
FBgn0000183,BicD,protein_coding,2L:17459605..17473215,1.36E-244,1.11E-243,4.56E-01,6.96E-01,0.0009,0.0072,3.12E-03,9.54E-03,0.0792
FBgn0000206,boss,protein_coding,3R:21787716..21792670,2.74E-168,1.15E-167,9.31E-01,9.68E-01,0.0000,0.0140,2.14E-02,4.85E-02,0.2118
FBgn0000210,br,protein_coding,X:1469165..1558902,6.75E-186,3.23E-185,3.27E-01,5.95E-01,0.0051,0.0072,5.06E-02,9.73E-02,0.1632
FBgn0000212,brm,protein_coding,3L:15963182..15975969,7.78E-261,7.65E-260,4.31E-01,6.79E-01,0.0009,0.0059,3.09E-03,9.46E-03,0.0650
FBgn0000216,Brd,protein_coding,3L:14965767..14966298,8.49E-43,1.58E-42,2.58E-01,5.30E-01,0.0466,0.0000,1.19E-01,1.90E-01,0.6951
FBgn0000221,brn,protein_coding,X:3998377..3999824,2.13E-81,5.08E-81,1.47E-01,3.87E-01,0.0327,0.0087,1.07E-01,1.75E-01,0.4841
FBgn0000227,Bsg25A,protein_coding,2L:4683050..4684459,3.60E-01,3.77E-01,2.64E-01,5.36E-01,0.0000,0.0000,8.93E-01,9.05E-01,1.0002
FBgn0000228,Bsg25D,protein_coding,2L:5271728..5278558,5.38E-174,2.35E-173,3.31E-02,1.56E-01,0.0187,0.0142,1.85E-04,7.83E-04,0.1520
FBgn0000229,bsk,protein_coding,2L:10247502..10250501,5.78E-193,2.92E-192,6.59E-01,8.28E-01,0.0000,0.0087,4.55E-02,8.94E-02,0.1581
FBgn0000233,btd,protein_coding,X:9588219..9591591,1.01E-78,2.38E-78,7.98E-01,9.02E-01,0.0000,0.0294,4.47E-02,8.82E-02,0.5264
FBgn0000239,bur,protein_coding,2L:21174135..21179697,5.17E-195,2.66E-194,6.46E-01,8.20E-01,0.0000,0.0000,1.29E-01,2.02E-01,0.1635
FBgn0000241,bw,protein_coding,2R:19415328..19426016,2.21E-02,2.47E-02,2.32E-01,5.02E-01,0.0412,0.1468,3.90E-07,2.64E-06,0.8074
FBgn0000242,Bx,protein_coding,X:18428696..18466842,3.51E-134,1.15E-133,2.15E-01,4.82E-01,0.0154,0.0100,5.69E-02,1.07E-01,0.2830
FBgn0000244,by,protein_coding,3R:5353960..5358733,2.48E-176,1.10E-175,5.10E-03,4.15E-02,0.0218,0.0291,9.39E-11,9.62E-10,0.1212
FBgn0000246,c(3)G,protein_coding,3R:11615195..11618301,4.74E-167,1.97E-166,7.58E-24,2.75E-21,0.0830,0.0077,1.68E-11,1.84E-10,0.0687
FBgn0000247,ca,protein_coding,3R:25632714..25640769,4.58E-42,8.48E-42,3.81E-01,6.37E-01,0.0136,0.0567,4.74E-03,1.36E-02,0.6733
FBgn0000250,cact,protein_coding,2L:16313036..16326207,1.20E-144,4.25E-144,3.23E-01,5.91E-01,0.0076,0.0310,5.49E-05,2.59E-04,0.2302
FBgn0000253,Cam,protein_coding,2R:8146903..8166314,1.23E-06,1.56E-06,3.15E-01,5.84E-01,0.0292,0.0572,1.41E-02,3.44E-02,0.8833
FBgn0000256,capu,protein_coding,2L:3872646..3902860,1.37E-267,1.44E-266,1.40E-01,3.77E-01,0.0039,0.0060,1.41E-04,6.11E-04,0.0530
FBgn0000257,car,protein_coding,X:19460052..19463434,1.62E-232,1.18E-231,2.49E-02,1.29E-01,0.0101,0.0077,7.17E-05,3.30E-04,0.0745
FBgn0000259,CkIIbeta,protein_coding,X:11686566..11695620,5.42E-49,1.05E-48,2.03E-01,4.65E-01,0.0318,0.0322,2.06E-02,4.71E-02,0.6324
FBgn0000261,Cat,protein_coding,3L:18815704..18821288,8.20E-89,2.05E-88,1.66E-03,1.77E-02,0.0627,0.1044,1.17E-16,1.95E-15,0.2863
FBgn0000273,Pka-C1,protein_coding,2L:9682315..9699297,6.57E-61,1.38E-60,5.97E-01,7.91E-01,0.0000,0.0974,1.34E-06,8.35E-06,0.5387
FBgn0000274,Pka-C2,protein_coding,3R:26521259..26527943,0.00E+00,0.00E+00,4.96E-02,2.02E-01,0.0005,0.0000,9.64E-01,9.68E-01,0.0274
FBgn0000278,CecB,protein_coding,3R:26039037..26039519,3.38E-02,3.75E-02,2.68E-01,5.39E-01,0.0403,0.0000,2.45E-01,3.31E-01,0.9549
FBgn0000279,CecC,protein_coding,3R:26042206..26042660,3.94E-07,5.05E-07,3.12E-02,1.50E-01,0.1079,0.0000,1.55E-01,2.33E-01,0.8551
FBgn0000281,Cec2,pseudogene,3R:26038625..26038864,2.75E-01,2.90E-01,6.50E-01,8.22E-01,0.0000,0.0000,7.50E-01,7.85E-01,0.9997
FBgn0000283,Cp190,protein_coding,3R:11096154..11100963,8.85E-270,9.45E-269,6.27E-01,8.09E-01,0.0000,0.0061,1.75E-03,5.76E-03,0.0594
FBgn0000286,Cf2,protein_coding,2L:4876891..4883107,5.80E-52,1.15E-51,1.05E-04,1.83E-03,0.1420,0.0303,1.01E-04,4.53E-04,0.4777
FBgn0000287,salr,protein_coding,2L:11358873..11373679,1.11E-209,6.52E-209,1.92E-02,1.09E-01,0.0140,0.0116,1.52E-05,8.02E-05,0.0947
FBgn0000289,cg,protein_coding,2R:10061175..10070345,2.22E-203,1.23E-202,5.73E-01,7.76E-01,0.0000,0.0147,6.18E-04,2.31E-03,0.1275
FBgn0000299,Cg25C,protein_coding,2L:5029609..5037279,1.62E-80,3.86E-80,1.83E-02,1.05E-01,0.0519,0.0951,7.49E-12,8.49E-11,0.3537
FBgn0000303,Cha,protein_coding,3R:14531245..14558068,4.78E-249,4.07E-248,9.73E-01,9.88E-01,0.0000,0.0000,4.69E-01,5.42E-01,0.0947
FBgn0000307,chif,protein_coding,2L:16342430..16352600,8.87E-277,1.03E-275,6.74E-01,8.35E-01,0.0000,0.0033,4.19E-02,8.35E-02,0.0587
FBgn0000308,chic,protein_coding,2L:5972115..5981018,5.06E-35,8.89E-35,8.69E-02,2.88E-01,0.0592,0.0644,3.66E-04,1.44E-03,0.6538
FBgn0000313,chp,protein_coding,3R:27029902..27036452,8.23E-106,2.27E-105,9.92E-01,9.97E-01,0.0000,0.0484,2.82E-04,1.14E-03,0.3889
FBgn0000316,cin,protein_coding,X:148909..152503,0.00E+00,0.00E+00,5.25E-01,7.46E-01,0.0000,0.0000,2.43E-01,3.29E-01,0.0315
FBgn0000317,ck,protein_coding,2L:15044963..15057848,6.41E-242,5.09E-241,9.18E-02,2.97E-01,0.0074,0.0024,4.01E-02,8.06E-02,0.0782
FBgn0000318,cl,protein_coding,2L:5520135..5521382,1.99E-01,2.12E-01,1.32E-01,3.65E-01,0.0534,0.2412,6.25E-15,9.23E-14,0.7053
FBgn0000319,Chc,protein_coding,X:15722019..15729523,3.48E-94,8.94E-94,5.53E-01,7.64E-01,0.0000,0.0513,2.42E-04,9.97E-04,0.4137
FBgn0000320,eya,protein_coding,2L:6527447..6546972,1.27E-06,1.61E-06,3.61E-02,1.66E-01,0.1017,0.0620,8.97E-04,3.21E-03,0.8041
FBgn0000326,clt,protein_coding,2R:17504566..17506564,1.62E-40,2.97E-40,3.63E-01,6.23E-01,0.0324,0.0000,1.77E-01,2.58E-01,0.7253
FBgn0000330,cm,protein_coding,X:6903039..6905178,2.93E-51,5.80E-51,9.69E-01,9.86E-01,0.0000,0.0000,8.21E-01,8.44E-01,0.7213
FBgn0000337,cn,protein_coding,2R:3670302..3672711,1.42E-01,1.53E-01,6.13E-02,2.31E-01,0.0671,0.3214,3.45E-24,9.65E-23,0.6124
FBgn0000339,cni,protein_coding,2L:16309292..16310726,1.21E-08,1.60E-08,2.56E-01,5.29E-01,0.0357,0.0584,9.76E-03,2.52E-02,0.8625
FBgn0000346,comt,protein_coding,X:13153013..13156521,1.19E-242,9.54E-242,1.23E-03,1.39E-02,0.0135,0.0070,3.21E-06,1.88E-05,0.0579
FBgn0000351,cort,protein_coding,2L:6674682..6676635,1.76E-264,1.79E-263,2.76E-01,5.48E-01,0.0026,0.0032,2.98E-02,6.36E-02,0.0629
FBgn0000352,cos,protein_coding,2R:3269681..3274620,1.67E-301,2.74E-300,4.83E-02,1.98E-01,0.0038,0.0044,7.15E-06,3.97E-05,0.0320
FBgn0000355,Cp15,protein_coding,3L:8721581..8722166,1.45E-266,1.50E-265,6.28E-01,8.09E-01,0.0000,0.0011,2.91E-01,3.77E-01,0.0706
FBgn0000356,Cp16,protein_coding,3L:8725044..8725699,1.62E-302,2.71E-301,4.16E-02,1.81E-01,0.0037,0.0022,2.90E-03,8.98E-03,0.0347
FBgn0000357,Cp18,protein_coding,3L:8719891..8720713,3.75E-249,3.21E-248,1.84E-01,4.40E-01,0.0045,0.0046,8.72E-03,2.29E-02,0.0717
FBgn0000358,Cp19,protein_coding,3L:8722965..8723704,8.87E-297,1.35E-295,2.09E-01,4.74E-01,0.0024,0.0014,6.40E-02,1.17E-01,0.0427
FBgn0000359,Cp36,protein_coding,X:8373352..8374556,0.00E+00,0.00E+00,2.25E-01,4.94E-01,0.0010,0.0014,1.14E-02,2.87E-02,0.0222
FBgn0000360,Cp38,protein_coding,X:8375870..8377344,0.00E+00,0.00E+00,9.78E-02,3.08E-01,0.0028,0.0000,2.26E-01,3.11E-01,0.0354
FBgn0000370,crc,protein_coding,2L:21310866..21319527,1.94E-27,3.20E-27,8.06E-01,9.06E-01,0.0000,0.1357,4.22E-07,2.83E-06,0.7183
FBgn0000376,crm,protein_coding,X:2628277..2632810,3.65E-299,5.80E-298,3.23E-01,5.91E-01,0.0013,0.0032,5.41E-03,1.52E-02,0.0403
FBgn0000377,crn,protein_coding,X:2141627..2144015,1.32E-178,5.98E-178,7.07E-02,2.53E-01,0.0104,0.0000,4.16E-01,4.95E-01,0.1786
FBgn0000382,csw,protein_coding,X:1988267..2009734,2.89E-66,6.29E-66,8.05E-01,9.06E-01,0.0000,0.0477,7.16E-03,1.94E-02,0.5689
FBgn0000384,cta,protein_coding,2L:22874548..22885683,2.74E-244,2.22E-243,3.10E-02,1.50E-01,0.0101,0.0006,6.58E-02,1.19E-01,0.0738
FBgn0000392,cup,protein_coding,2L:6663968..6674780,5.01E-131,1.61E-130,2.05E-08,9.86E-07,0.0918,0.0000,1.39E-04,6.03E-04,0.1826
FBgn0000394,cv,protein_coding,X:5584029..5587117,2.88E-127,9.04E-127,6.60E-08,2.86E-06,0.0839,0.0197,1.40E-07,1.00E-06,0.1799
FBgn0000395,cv-2,protein_coding,2R:17242512..17266967,8.12E-63,1.73E-62,2.97E-01,5.67E-01,0.0184,0.0266,3.15E-02,6.64E-02,0.5788
FBgn0000404,CycA,protein_coding,3L:11819819..11826678,0.00E+00,0.00E+00,7.84E-01,8.94E-01,0.0000,0.0007,2.39E-01,3.25E-01,0.0289
FBgn0000405,CycB,protein_coding,2R:18691026..18694490,0.00E+00,0.00E+00,9.33E-01,9.69E-01,0.0000,0.0000,3.09E-01,3.95E-01,0.0410
FBgn0000406,Cyt-b5-r,protein_coding,2L:16788774..16790721,8.52E-17,1.26E-16,6.62E-01,8.30E-01,0.0000,0.3259,7.55E-25,2.21E-23,0.6089
FBgn0000409,Cyt-c-p,protein_coding,2L:16719932..16722644,2.75E-28,4.57E-28,4.14E-02,1.81E-01,0.0675,0.2351,1.07E-19,2.25E-18,0.5420
FBgn0000411,D,protein_coding,3L:14168710..14171720,2.89E-185,1.38E-184,3.31E-01,5.99E-01,0.0044,0.0079,4.01E-02,8.07E-02,0.1640
FBgn0000412,D1,protein_coding,3R:5063805..5066376,7.74E-212,4.63E-211,2.01E-01,4.64E-01,0.0069,0.0051,3.24E-02,6.81E-02,0.1156
FBgn0000413,da,protein_coding,2L:10388105..10393228,4.49E-260,4.39E-259,7.58E-01,8.81E-01,0.0000,0.0050,1.85E-02,4.30E-02,0.0708
FBgn0000414,Dab,protein_coding,3L:16705226..16717675,7.67E-46,1.46E-45,8.66E-01,9.37E-01,0.0000,0.0427,3.24E-02,6.80E-02,0.6928
FBgn0000416,Sap-r,protein_coding,3R:26709186..26714784,3.67E-09,4.88E-09,8.50E-01,9.30E-01,0.0000,0.1142,1.05E-04,4.67E-04,0.8459
FBgn0000422,Ddc,protein_coding,2L:19116480..19120300,6.48E-158,2.52E-157,4.35E-03,3.67E-02,0.0256,0.0543,5.90E-19,1.18E-17,0.1306
FBgn0000426,SmF,protein_coding,2R:8071349..8071815,1.29E-155,4.91E-155,3.34E-02,1.58E-01,0.0272,0.0039,3.94E-02,7.95E-02,0.2043
FBgn0000427,40147,protein_coding,X:7761232..7767255,0.00E+00,0.00E+00,1.80E-01,4.36E-01,0.0022,0.0012,5.32E-02,1.01E-01,0.0338
FBgn0000439,Dfd,protein_coding,3R:2617558..2628150,5.06E-01,5.23E-01,6.91E-01,8.46E-01,0.0000,0.0495,5.50E-02,1.04E-01,0.9514
FBgn0000442,Pkg21D,protein_coding,2L:786153..790798,8.70E-186,4.16E-185,4.39E-02,1.87E-01,0.0174,0.0000,1.68E-01,2.48E-01,0.1534
FBgn0000447,Dhod,protein_coding,3R:4477113..4478638,2.65E-125,8.22E-125,5.21E-01,7.43E-01,0.0000,0.0352,5.80E-04,2.18E-03,0.3040
FBgn0000448,Hr46,protein_coding,2R:6091617..6124853,2.94E-199,1.58E-198,9.08E-01,9.57E-01,0.0000,0.0060,1.16E-01,1.87E-01,0.1552
FBgn0000449,dib,protein_coding,3L:4062292..4064551,6.36E-02,6.96E-02,3.09E-01,5.78E-01,0.0000,0.0000,3.35E-01,4.20E-01,0.9967
FBgn0000454,Dip-B,protein_coding,3R:9608012..9611401,4.31E-201,2.35E-200,2.93E-01,5.63E-01,0.0036,0.0240,1.54E-08,1.23E-07,0.1106
FBgn0000455,Dip-C,protein_coding,3R:8237531..8239460,1.42E-02,1.60E-02,6.95E-01,8.48E-01,0.0000,0.4298,1.32E-36,7.47E-35,0.5670
FBgn0000459,disco,protein_coding,X:16104631..16110779,5.67E-06,7.08E-06,3.45E-01,6.09E-01,0.0233,0.0675,7.40E-03,1.99E-02,0.8834
FBgn0000463,Dl,protein_coding,3R:15128388..15151939,0.00E+00,0.00E+00,5.26E-01,7.46E-01,0.0000,0.0023,9.63E-03,2.49E-02,0.0312
FBgn0000464,Lar,protein_coding,2L:19586623..19732069,1.78E-37,3.19E-37,7.54E-01,8.79E-01,0.0000,0.0000,1.17E-01,1.87E-01,0.7816
FBgn0000473,Cyp6a2,protein_coding,2R:2667254..2668996,1.81E-92,4.60E-92,3.29E-05,6.81E-04,0.0288,0.5679,2.28E-171,5.91E-168,0.0908
FBgn0000477,DNaseII,protein_coding,3R:13845097..13846883,2.10E-33,3.65E-33,3.89E-02,1.74E-01,0.0639,0.2195,6.92E-19,1.37E-17,0.5256
FBgn0000479,dnc,protein_coding,X:3070473..3237800,2.54E-68,5.60E-68,2.15E-01,4.82E-01,0.0272,0.0358,8.09E-03,2.15E-02,0.5260
FBgn0000482,dor,protein_coding,X:1559088..1562484,2.35E-56,4.81E-56,6.20E-01,8.05E-01,0.0000,0.0000,5.29E-01,5.94E-01,0.6789
FBgn0000489,Pka-C3,protein_coding,3L:15918904..15947897,2.11E-221,1.39E-220,6.74E-03,5.08E-02,0.0142,0.0111,8.69E-07,5.58E-06,0.0773
FBgn0000490,dpp,protein_coding,2L:2428372..2459823,5.81E-200,3.14E-199,4.21E-02,1.82E-01,0.0077,0.0000,8.05E-01,8.31E-01,0.1431
FBgn0000492,Dr,protein_coding,3R:25382109..25391007,6.31E-98,1.66E-97,4.71E-01,7.07E-01,0.0031,0.0298,1.53E-02,3.67E-02,0.4186
FBgn0000497,ds,protein_coding,2L:640021..714968,4.12E-85,1.01E-84,8.60E-02,2.86E-01,0.0405,0.0174,2.38E-02,5.31E-02,0.4396
FBgn0000499,dsh,protein_coding,X:11249914..11252757,2.36E-14,3.38E-14,3.40E-02,1.59E-01,0.1012,0.0463,2.74E-03,8.53E-03,0.7662
FBgn0000500,Dsk,protein_coding,3R:15414..15982,2.52E-165,1.03E-164,6.18E-01,8.04E-01,0.0000,0.0099,8.21E-02,1.42E-01,0.2175
FBgn0000504,dsx,protein_coding,3R:3750045..3793130,5.78E-226,3.93E-225,9.11E-01,9.59E-01,0.0000,0.0225,3.61E-10,3.48E-09,0.0875
FBgn0000520,dwg,protein_coding,X:2621733..2624092,3.16E-198,1.67E-197,1.37E-02,8.55E-02,0.0178,0.0000,1.75E-01,2.55E-01,0.1281
